"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"csy3","","CRISPR-associated protein Csy3","34","2","30","142","53.125","98.61111111111111","80.46666666666667","5.560189154393596e-19","3.574701209251187e-14","3.574701209251187e-14","30","29","2","5.774199962615969e-08","8.679926395416261e-07"
"cas3","","CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST","30","3","34","141","46.875","97.91666666666666","41.470588235294116","3.2728611225255905e-15","2.1041551442829273e-10","1.0520775721414637e-10","27","26","3","4.1723251342773453e-07","4.923343658447265e-05"
"cas6f","","CRISPR-associated endonuclease Cas6/Csy4","28","3","36","141","43.75","97.91666666666666","36.55555555555556","6.687022159382852e-14","4.299153416488829e-09","1.4330511388296098e-09","25","25","3","5.960464477539063e-08","0.00015652179718017584"
"group_3864","cas1","CRISPR-associated endonuclease Cas1","29","4","35","140","45.3125","97.22222222222221","29.0","9.988880004823312e-14","6.421950843900955e-09","1.6054877109752388e-09","27","25","4","5.647540092468263e-06","0.00031074881553649897"
"csy1","","CRISPR-associated protein Csy2","26","2","38","142","40.625","98.61111111111111","48.578947368421055","1.6046624395429483e-13","1.0316535290065569e-08","2.063307058013114e-09","25","24","2","1.5497207641601558e-06","1.943111419677734e-05"
"casD","","hypothetical protein","20","0","44","144","31.25","100.0","inf","5.3367264796652486e-12","3.431034821041585e-07","4.901478315773693e-08","16","16","0","3.0517578125e-05","3.0517578125e-05"
"casC","","CRISPR system Cascade subunit CasC","20","0","44","144","31.25","100.0","inf","5.3367264796652486e-12","3.431034821041585e-07","4.901478315773693e-08","16","16","0","3.0517578125e-05","3.0517578125e-05"
"casE","","CRISPR system Cascade subunit CasE","19","0","45","144","29.6875","100.0","inf","2.2414251214593655e-11","1.4410346248374406e-06","1.8012932810468007e-07","16","16","0","3.0517578125e-05","3.0517578125e-05"
"ygcB","","CRISPR-associated endonuclease/helicase Cas3","19","1","45","143","29.6875","99.30555555555556","60.37777777777778","3.4688722117824134e-10","2.2301726336770313e-05","2.2301726336770313e-06","16","16","1","3.0517578125e-05","0.000518798828125"
"ygbT","","CRISPR-associated endonuclease Cas1","19","1","45","143","29.6875","99.30555555555556","60.37777777777778","3.4688722117824134e-10","2.2301726336770313e-05","2.2301726336770313e-06","16","16","1","3.0517578125e-05","0.000518798828125"
"ygbF","","CRISPR-associated endoribonuclease Cas2","17","1","47","143","26.5625","99.30555555555556","51.723404255319146","5.198302359625016e-09","0.0003342040570026519","3.0382187000241082e-05","14","14","1","0.0001220703125","0.0018310546875000002"
"casA","","hypothetical protein","13","0","51","144","20.3125","100.0","inf","8.793725298735264e-08","0.005653573931809888","0.00047113116098415733","11","11","0","0.0009765625","0.0009765625"
"group_1333","","hypothetical protein","24","110","40","34","37.5","23.61111111111111","0.18545454545454546","1.2571970507763182e-07","0.008082645559146028","0.000621741966088156","23","11","16","0.09313964843749999","0.9999999999999998"
"group_3733","codB","Cytosine permease","0","37","64","107","0.0","74.30555555555556","0.0","2.7785341051740044e-07","0.01786347361557419","0.0012759624011124421","6","0","6","0.03125","0.03125"
"group_3545","","hypothetical protein","0","36","64","108","0.0","75.0","0.0","5.113568685875574e-07","0.032875644438362654","0.002191709629224177","2","0","2","0.5","0.5"
"hpf_2","","hypothetical protein","2","46","62","98","3.125","68.05555555555556","0.06872370266479663","7.289266358674427e-07","0.04686342234655376","0.00292896389665961","5","2","5","0.0625","1.0"
"group_3891","","hypothetical protein","0","35","64","109","0.0","75.69444444444444","0.0","1.0142667112498432e-06","0.06520822113296366","0.0035958301635082824","2","0","2","0.5","0.5"
"ves","","Protein Ves","16","89","48","55","25.0","38.19444444444444","0.20599250936329588","1.078926257476925e-06","0.06936524801944899","0.0035958301635082824","19","11","14","0.06356811523437494","0.6476058959960938"
"group_4341","","hypothetical protein","0","34","64","110","0.0","76.38888888888889","0.0","1.102507909593742e-06","0.07088133601569127","0.0035958301635082824","2","0","2","0.5","0.5"
"group_3739","","hypothetical protein","1","40","63","104","1.5625","72.22222222222221","0.04126984126984127","1.1186107428748294e-06","0.07191660327016565","0.0035958301635082824","2","1","2","0.5","1.0"
"group_5982","","hypothetical protein","11","0","53","144","17.1875","100.0","inf","1.232014953682166e-06","0.07920747338718014","0.003600339699417279","5","5","0","0.0625","0.0625"
"group_6979","","hypothetical protein","11","0","53","144","17.1875","100.0","inf","1.232014953682166e-06","0.07920747338718014","0.003600339699417279","9","9","0","0.00390625","0.00390625"
"group_2397","","hypothetical protein","2","45","62","99","3.125","68.75","0.07096774193548387","1.366595263838043e-06","0.08785977610741162","0.0036790912926829553","3","2","3","0.25","1.0"
"group_2105","","hypothetical protein","11","75","53","69","17.1875","47.91666666666667","0.1909433962264151","1.670926662545684e-06","0.10742554606172457","0.0036790912926829553","11","6","8","0.22656250000000003","0.9999999999999997"
"group_2429","","hypothetical protein","8","66","56","78","12.5","54.166666666666664","0.16883116883116883","1.8013294000694878e-06","0.11580926845986744","0.0036790912926829553","16","7","13","0.021270751953125","0.8036193847656252"
"group_3567","","IS3 family transposase ISPa31","21","9","43","135","32.8125","93.75","7.325581395348837","1.8345303655457072e-06","0.11794379173129907","0.0036790912926829553","19","14","8","0.06356811523437494","0.6476058959960938"
"group_1318","","hypothetical protein","19","95","45","49","29.6875","34.02777777777778","0.21777777777777776","2.007273508686863e-06","0.12904962114698712","0.0036790912926829553","28","15","20","0.035698138177394874","0.8505540192127226"
"group_3381","","hypothetical protein","1","39","63","105","1.5625","72.91666666666666","0.042735042735042736","2.026568949786799e-06","0.1302901443507431","0.0036790912926829553","9","1","8","0.0390625","0.0390625"
"group_3659","","hypothetical protein","1","39","63","105","1.5625","72.91666666666666","0.042735042735042736","2.026568949786799e-06","0.1302901443507431","0.0036790912926829553","2","1","2","0.5","1.0"
"group_2055","","hypothetical protein","5","55","59","89","7.8125","61.80555555555556","0.13713405238828968","2.5569473825564153e-06","0.1643887041719345","0.0036790912926829553","11","3","9","0.06542968749999997","0.22656250000000003"
"group_2798","","hypothetical protein","5","55","59","89","7.8125","61.80555555555556","0.13713405238828968","2.5569473825564153e-06","0.1643887041719345","0.0036790912926829553","9","3","7","0.17968750000000003","0.5078125"
"kaiC","","Circadian clock protein kinase KaiC","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","7","2","6","0.125","0.4531249999999996"
"group_3341","","hypothetical protein","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","4","2","4","0.125","1.0"
"group_3345","","hypothetical protein","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","7","2","6","0.125","0.4531249999999996"
"group_1236","","hypothetical protein","2","43","62","101","3.125","70.13888888888889","0.07576894223555888","2.788252702900663e-06","0.17925955452218653","0.0036790912926829553","4","2","3","0.625","1.0"
"group_3181","","hypothetical protein","3","47","61","97","4.6875","67.36111111111111","0.10149982560167423","3.0916331651395674e-06","0.19876418781998792","0.0036790912926829553","8","3","6","0.2890624999999999","0.7265625000000002"
"group_2711","","hypothetical protein","6","58","58","86","9.375","59.72222222222222","0.15338882282996433","3.5753742522396196e-06","0.2298643860507374","0.0036790912926829553","8","3","8","0.0078125","0.7265625000000002"
"group_4541","","hypothetical protein","0","32","64","112","0.0","77.77777777777779","0.0","3.841605098807707e-06","0.2469806334074463","0.0036790912926829553","2","0","2","0.5","0.5"
"group_3506","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3661","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3667","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3734","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3755","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"quiP_1","","Acyl-homoserine lactone acylase QuiP","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","2","1","2","0.5","1.0"
"group_3818","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3840","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"ycgR","","Flagellar brake protein YcgR","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3906","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3967","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","7","1","6","0.125","0.125"
"group_4005","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4006","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4011","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4087","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4246","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","2","1","2","0.5","1.0"
"group_4262","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","2","1","2","0.5","1.0"
"group_4446","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4448","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4450","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4175","","hypothetical protein","0","31","64","113","0.0","78.47222222222221","0.0","4.232751520574567e-06","0.2721278280092595","0.0036790912926829553","2","0","2","0.5","0.5"
"group_3547","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3602","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","5","1","4","0.375","0.375"
"group_3617","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3658","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3662","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3750","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3760","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3811","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3828","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3829","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3837","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3908","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3915","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4100","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4261","","hypothetical protein","1","37","63","107","1.5625","74.30555555555556","0.045903045903045905","4.234694679792485e-06","0.2722527556585387","0.0036790912926829553","1","1","1","1.0","1.0"
"alx","","Putative membrane-bound redox modulator Alx","20","95","44","49","31.25","34.02777777777778","0.23444976076555024","4.516067445741214e-06","0.2903424921541484","0.0038347408513905263","24","8","20","0.0015438795089721682","0.15158963203430173"
"fimD_1","","Outer membrane usher protein FimD","13","78","51","66","20.3125","45.83333333333333","0.21568627450980393","4.533143125875783e-06","0.29144030470568","0.0038347408513905263","14","4","13","0.0018310546875000002","0.17956542968750003"
"group_3337","","hypothetical protein","3","46","61","98","4.6875","68.05555555555556","0.10477548111190306","5.582678458397579e-06","0.35891598076883874","0.004661246503491413","8","3","8","0.0078125","0.7265625000000002"
"oprB_2","","Porin B","6","57","58","87","9.375","60.416666666666664","0.15789473684210525","6.689897147226577e-06","0.43010017749234386","0.00545204319896173","12","6","9","0.14599609375000003","1.0"
"yfdG","","Prophage bactoprenol-linked glucose translocase ","0","30","64","114","0.0","79.16666666666666","0.0","7.477437313428991e-06","0.48073192231766326","0.00545204319896173","11","0","11","0.0009765625","0.0009765625"
"group_5031","","hypothetical protein","0","30","64","114","0.0","79.16666666666666","0.0","7.477437313428991e-06","0.48073192231766326","0.00545204319896173","2","0","2","0.5","0.5"
"group_5958","","hypothetical protein","0","30","64","114","0.0","79.16666666666666","0.0","7.477437313428991e-06","0.48073192231766326","0.00545204319896173","2","0","2","0.5","0.5"
"group_1308","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","1","1","1","1.0","1.0"
"COQ5_2","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","1","1","1","1.0","1.0"
"group_3338","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","1","1","1","1.0","1.0"
"group_3499","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","3","1","3","0.25","1.0"
"group_3826","","putative MFS-type transporter","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","9","1","9","0.00390625","0.0390625"
"group_3988","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","1","1","1","1.0","1.0"
"group_4086","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","1","1","1","1.0","1.0"
"group_4241","","hypothetical protein","1","36","63","108","1.5625","75.0","0.047619047619047616","7.5474303511781425e-06","0.48523184470759395","0.00545204319896173","2","1","2","0.5","1.0"
"ybhN","","Inner membrane protein YbhN","12","74","52","70","18.75","48.61111111111111","0.2182952182952183","8.019304720157033e-06","0.5155691197636159","0.005728545775151288","13","9","8","0.26684570312499983","0.5810546875"
"group_2994","","hypothetical protein","5","53","59","91","7.8125","63.19444444444444","0.14550687559961625","8.496378981528891e-06","0.5462407011014739","0.006002645067049164","7","3","6","0.125","0.9999999999999998"
"group_2850","","hypothetical protein","5","52","59","92","7.8125","63.888888888888886","0.14993481095176012","9.231786779344939e-06","0.5935208038308655","0.006451313085118103","8","4","6","0.2890624999999999","1.0"
"group_2487","","hypothetical protein","7","59","57","85","10.9375","59.02777777777778","0.17692536425810287","9.68343746535149e-06","0.6225578780849126","0.00654936154771621","13","6","11","0.022460937500000003","0.9999999999999999"
"ku","","Non-homologous end joining protein Ku","4","49","60","95","6.25","65.97222222222221","0.1292517006802721","9.984875031640072e-06","0.6419376006591718","0.00654936154771621","8","4","7","0.0703125","1.0"
"rluF","","Dual-specificity RNA pseudouridine synthase RluF","4","49","60","95","6.25","65.97222222222221","0.1292517006802721","9.984875031640072e-06","0.6419376006591718","0.00654936154771621","4","3","3","0.625","0.625"
"group_2719","","hypothetical protein","2","41","62","103","3.125","71.52777777777779","0.08103855232100708","1.0138198145271965e-05","0.6517948969576799","0.00654936154771621","9","2","8","0.0390625","0.17968750000000003"
"group_3230","","hypothetical protein","2","40","62","104","3.125","72.22222222222221","0.08387096774193549","1.0187058138333843e-05","0.654936154771621","0.00654936154771621","3","2","3","0.25","1.0"
"nadR_2","","hypothetical protein","2","40","62","104","3.125","72.22222222222221","0.08387096774193549","1.0187058138333843e-05","0.654936154771621","0.00654936154771621","5","2","4","0.375","1.0"
"group_3329","","hypothetical protein","2","40","62","104","3.125","72.22222222222221","0.08387096774193549","1.0187058138333843e-05","0.654936154771621","0.00654936154771621","8","2","6","0.2890624999999999","0.2890624999999999"
"group_3427","","Urea transporter","2","40","62","104","3.125","72.22222222222221","0.08387096774193549","1.0187058138333843e-05","0.654936154771621","0.00654936154771621","10","2","9","0.021484374999999997","0.10937500000000003"
"farB","","hypothetical protein","3","45","61","99","4.6875","68.75","0.10819672131147541","1.0687649932513425e-05","0.6871197018112206","0.006693221424014633","9","3","8","0.0390625","0.5078125"
"group_3233","","hypothetical protein","3","45","61","99","4.6875","68.75","0.10819672131147541","1.0687649932513425e-05","0.6871197018112206","0.006693221424014633","5","3","4","0.375","1.0"
"group_2271","","hypothetical protein","10","68","54","76","15.625","52.77777777777778","0.20697167755991286","1.0723146422882009e-05","0.6894018066735073","0.006693221424014633","14","9","8","0.4239501953124999","0.7905273437500004"
"group_3340","","hypothetical protein","3","44","61","100","4.6875","69.44444444444444","0.11177347242921014","1.1163573233862782e-05","0.7177172867782721","0.006901127757483385","6","3","5","0.21875000000000003","1.0"
"exuT_1","","Hexuronate transporter","16","83","48","61","25.0","42.36111111111111","0.24497991967871485","1.2288019884531287e-05","0.790009086396401","0.007523896060918104","17","6","13","0.049041748046874986","0.33230590820312506"
"group_4345","","hypothetical protein","0","29","64","115","0.0","79.86111111111111","0.0","1.4060692668280471e-05","0.9039759923364198","0.00798933739734885","2","0","2","0.5","0.5"
"group_4452","","hypothetical protein","0","29","64","115","0.0","79.86111111111111","0.0","1.4060692668280471e-05","0.9039759923364198","0.00798933739734885","4","0","4","0.125","0.125"
"rhlA","","3-(3-hydroxydecanoyloxy)decanoate synthase","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","2","1","2","0.5","1.0"
"group_3821","","hypothetical protein","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","1","1","1","1.0","1.0"
"group_4004","","hypothetical protein","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","1","1","1","1.0","1.0"
"group_4141","","hypothetical protein","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","5","1","5","0.0625","0.375"
"group_4637","","hypothetical protein","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","2","1","1","1.0","1.0"
"group_4738","","hypothetical protein","1","35","63","109","1.5625","75.69444444444444","0.04943310657596372","1.4291341213251121e-05","0.9188046179411278","0.00798933739734885","2","1","1","1.0","1.0"
"nhaP2","","K(+)/H(+) antiporter NhaP2","23","99","41","45","35.9375","31.25","0.2549889135254989","1.5257284520528797e-05","0.9809060791093169","0.00798933739734885","25","14","17","0.10775214433670036","0.690037965774536"
"group_3815","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","2","1","1","1.0","1.0"
"group_3839","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_3910","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_4010","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","2","1","1","1.0","1.0"
"group_4085","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_4160","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_4266","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_4930","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_5026","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_5454","","hypothetical protein","1","34","63","110","1.5625","76.38888888888889","0.051353874883286646","1.540927715032053e-05","0.9906778372712572","0.00798933739734885","1","1","1","1.0","1.0"
"group_5193","","hypothetical protein","12","2","52","142","18.75","98.61111111111111","16.384615384615383","1.7182939233732224e-05","1.0","0.008837666770207028","7","6","2","0.125","0.4531249999999996"
"group_3557","","hypothetical protein","2","39","62","105","3.125","72.91666666666666","0.08684863523573201","1.8527146765819933e-05","1.0","0.009453403116835946","3","2","2","1.0","1.0"
"zupT","","Zinc transporter ZupT","15","80","49","64","23.4375","44.44444444444444","0.24489795918367346","1.9674651891121584e-05","1.0","0.009916662405711865","24","8","17","0.06391465663909912","0.15158963203430173"
"amn","","AMP nucleosidase","14","77","50","67","21.875","46.52777777777778","0.24363636363636362","1.9825719691095057e-05","1.0","0.009916662405711865","5","4","4","0.375","0.375"
"group_3502","","hypothetical protein","3","43","61","101","4.6875","70.13888888888889","0.1155165840640488","1.9897799852807244e-05","1.0","0.009916662405711865","6","3","5","0.21875000000000003","1.0"
"yqjI","","hypothetical protein","10","66","54","78","15.625","54.166666666666664","0.21885521885521886","2.1319136379247234e-05","1.0","0.010543296899678338","11","7","11","0.0009765625","0.548828125"
"cas1","","CRISPR-associated endonuclease Cas1","16","6","48","138","25.0","95.83333333333334","7.666666666666667","2.2068191526662215e-05","1.0","0.010830428255272065","17","13","6","0.049041748046874986","0.33230590820312506"
"yjdJ","","hypothetical protein","20","91","44","53","31.25","36.80555555555556","0.2647352647352647","2.294756897473465e-05","1.0","0.011176683007232313","20","12","16","0.011817932128906248","0.5034446716308595"
"madD","","hypothetical protein","6","54","58","90","9.375","62.5","0.1724137931034483","2.3948060682455156e-05","1.0","0.011447307513408608","12","5","8","0.3876953125000001","0.7744140625000003"
"mdcC","","Malonate decarboxylase acyl carrier protein","6","54","58","90","9.375","62.5","0.1724137931034483","2.3948060682455156e-05","1.0","0.011447307513408608","12","5","8","0.3876953125000001","0.7744140625000003"
"group_1782","","hypothetical protein","11","69","53","75","17.1875","52.083333333333336","0.22559474979491387","2.4215423960174375e-05","1.0","0.011447307513408608","19","9","14","0.06356811523437494","1.0"
"osmX","","Osmoprotectant-binding protein OsmX","11","69","53","75","17.1875","52.083333333333336","0.22559474979491387","2.4215423960174375e-05","1.0","0.011447307513408608","9","5","9","0.00390625","1.0"
"group_1098","","hypothetical protein","25","102","39","42","39.0625","29.166666666666668","0.26395173453996984","2.535463952562043e-05","1.0","0.011490895619248228","28","13","21","0.012540951371192932","0.8505540192127226"
"group_1975","","hypothetical protein","6","53","58","91","9.375","63.19444444444444","0.17761873780091086","2.5462006497869735e-05","1.0","0.011490895619248228","11","5","9","0.06542968749999997","0.9999999999999997"
"group_3507","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"group_3884","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"group_3900","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","2","1","1","1.0","1.0"
"group_3905","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","2","1","2","0.5","1.0"
"group_4048","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","9","1","8","0.0390625","0.0390625"
"group_4171","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"algK","","Alginate biosynthesis protein AlgK","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"algG","","Mannuronan C5-epimerase","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"group_4242","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","1","1","1","1.0","1.0"
"group_4248","","hypothetical protein","1","33","63","111","1.5625","77.08333333333334","0.05339105339105339","2.6988617979289208e-05","1.0","0.011490895619248228","2","1","1","1.0","1.0"
