"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1995","","hypothetical protein","7","48","57","96","10.9375","66.66666666666666","0.24561403508771928","0.000590721543780704","1.0","0.07610837429099246","8","6","4","0.2890624999999999","1.0"
"sdpR","","hypothetical protein","7","48","57","96","10.9375","66.66666666666666","0.24561403508771928","0.000590721543780704","1.0","0.07610837429099246","8","4","6","0.2890624999999999","1.0"
"group_2820","","hypothetical protein","7","48","57","96","10.9375","66.66666666666666","0.24561403508771928","0.000590721543780704","1.0","0.07610837429099246","14","7","10","0.17956542968750003","1.0"
"ltaE_2","","Low specificity L-threonine aldolase","7","48","57","96","10.9375","66.66666666666666","0.24561403508771928","0.000590721543780704","1.0","0.07610837429099246","9","6","8","0.0390625","0.5078125"
"group_3378","","hypothetical protein","7","48","57","96","10.9375","66.66666666666666","0.24561403508771928","0.000590721543780704","1.0","0.07610837429099246","10","5","7","0.3437499999999999","1.0"
"group_2041","","hypothetical protein","13","65","51","79","20.3125","54.861111111111114","0.30980392156862746","0.0006191230957164409","1.0","0.07900191550631973","14","10","9","0.17956542968750003","0.4239501953124999"
"group_3339","","hypothetical protein","4","38","60","106","6.25","73.61111111111111","0.18596491228070175","0.00061932409536615","1.0","0.07900191550631973","4","3","3","0.625","0.625"
"group_3425","","hypothetical protein","4","38","60","106","6.25","73.61111111111111","0.18596491228070175","0.00061932409536615","1.0","0.07900191550631973","10","4","7","0.3437499999999999","0.7539062500000002"
"group_3491","","hypothetical protein","4","38","60","106","6.25","73.61111111111111","0.18596491228070175","0.00061932409536615","1.0","0.07900191550631973","3","3","1","0.25","1.0"
"group_3543","","hypothetical protein","4","38","60","106","6.25","73.61111111111111","0.18596491228070175","0.00061932409536615","1.0","0.07900191550631973","8","4","7","0.0703125","1.0"
"bamA_2","","putative NTE family protein","42","125","22","19","65.625","13.194444444444445","0.2901818181818182","0.0006441614742596966","1.0","0.0820074957260003","16","9","11","0.21011352539062492","0.8036193847656252"
"group_2998","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","2","2","2","0.5","0.5"
"group_4012","","hypothetical protein","2","30","62","114","3.125","79.16666666666666","0.12258064516129032","0.0006542023184613915","1.0","0.08230786938591257","3","2","2","1.0","1.0"
