"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_5047","menH_1","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","9","5","6","0.5078125","1.0"
"group_5111","","hypothetical protein","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","8","6","4","0.2890624999999999","1.0"
"group_5247","recX","Regulatory protein RecX","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","6","4","2","0.6875000000000002","0.6875000000000002"
"group_5290","","hypothetical protein","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","3","2","1","1.0","1.0"
"group_5430","","hypothetical protein","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","4","3","1","0.625","0.625"
"pgcA_1","","Phosphoglucomutase","14","6","165","23","7.82122905027933","79.3103448275862","0.32525252525252524","0.041103588637763026","1.0","1.0","5","4","1","0.375","0.375"
"group_3480","","hypothetical protein","22","8","157","21","12.290502793296088","72.41379310344827","0.3678343949044586","0.04329485975319109","1.0","1.0","10","7","4","0.3437499999999999","0.7539062500000002"
"group_3481","","hypothetical protein","22","8","157","21","12.290502793296088","72.41379310344827","0.3678343949044586","0.04329485975319109","1.0","1.0","10","7","4","0.3437499999999999","0.7539062500000002"
"group_3593","bepA_1","hypothetical protein","22","8","157","21","12.290502793296088","72.41379310344827","0.3678343949044586","0.04329485975319109","1.0","1.0","10","7","4","0.3437499999999999","0.7539062500000002"
"fmdA","","hypothetical protein","22","8","157","21","12.290502793296088","72.41379310344827","0.3678343949044586","0.04329485975319109","1.0","1.0","19","13","8","0.16706848144531244","0.6476058959960938"
"yfdG","","Prophage bactoprenol-linked glucose translocase ","22","8","157","21","12.290502793296088","72.41379310344827","0.3678343949044586","0.04329485975319109","1.0","1.0","13","7","8","0.5810546875","0.9999999999999999"
"pipB2","","hypothetical protein","74","18","105","11","41.340782122905026","37.93103448275862","0.4306878306878307","0.04446608835627303","1.0","1.0","20","9","15","0.04138946533203125","0.8238029479980463"
"group_2162","bepA_3","hypothetical protein","46","13","133","16","25.69832402234637","55.172413793103445","0.4256795835743204","0.04508269029323245","1.0","1.0","11","7","5","0.548828125","0.9999999999999997"
"rpmJ","","50S ribosomal protein L36","86","20","93","9","48.04469273743017","31.03448275862069","0.4161290322580645","0.04521034497862282","1.0","1.0","16","7","9","0.8036193847656252","0.8036193847656252"
